Tweet URL,Username,Posted At,Tweet Text,Predicted Label,Confidence (%)
https://x.com/basheatsworms/status/1974661914686115975,basheatsworms,2025-10-05 02:24:22+00:00,I'm gonna try not to be too mean about the movie because I know it has to be dramatized since it's a film and whatnot an,normal,99.96
https://x.com/CinemaOfScreams/status/1974623476351938583,CinemaOfScreams,2025-10-04 23:51:38+00:00,"7. DRACULA UNTOLD (2014)
Won't ever understand the hate. A beautiful story of death defying love, sacrifice and monsters",normal,99.98
https://x.com/smurfsalott/status/1974595535131873517,smurfsalott,2025-10-04 22:00:36+00:00,"@JinJangJin “Come on out! We have trending songs and an animated film!”

“I HATE KPOP I HATE KPOP” https://t.co/BEi1sYbM",normal,99.87
https://x.com/StephanieMunchX/status/1974589826914812052,StephanieMunchX,2025-10-04 21:37:55+00:00,"Exercice difficile que parler de son film ! Belle soirée pour cette première projection de La Maison d'Hôte, hâte de con",normal,99.98
https://x.com/StephanieMunchX/status/1974589826914812052,StephanieMunchX,2025-10-04 21:37:55+00:00,"Exercice difficile que parler de son film ! Belle soirée pour cette première projection de La Maison d'Hôte, hâte de con",normal,99.98
https://x.com/EstebanS1111/status/1974554663690367226,EstebanS1111,2025-10-04 19:18:11+00:00,@UgoLynn13 Hahahahah the Cnt can’t even sell the music or the film! The ticket sales are tanking and the film isn’t even,normal,99.98
https://x.com/FatimaIsah27441/status/1974549395111854578,FatimaIsah27441,2025-10-04 18:57:15+00:00,"@guttyakshay Funny how you are using AI photos for an amazing film to get háte 

Shame on you 🤡 https://t.co/hRuFK9bx7F",normal,99.95
https://x.com/idontbluffyoudo/status/1974541064553062478,idontbluffyoudo,2025-10-04 18:24:09+00:00,"Everyone here watching #kantara somebody had to watch #SunnySanskariKiTulsiKumari , so i did. I dint hate it at all, typ",normal,99.98
https://x.com/Jailbird_Jenny/status/1974505979275264039,Jailbird_Jenny,2025-10-04 16:04:44+00:00,"@ClownWorldYT1 Sir David past few elections been able to vote in , ""None Of The Above "" Great line from a not bad film ,",normal,99.24
https://x.com/RachanunTH/status/1974494425050141119,RachanunTH,2025-10-04 15:18:49+00:00,"Est-ce que Film est prête? Son look à l’aéroport avec le sucre était déjà super stylé et parfait ! Moi, je suis trop prê",normal,99.98
https://x.com/RachanunTH/status/1974494425050141119,RachanunTH,2025-10-04 15:18:49+00:00,"Est-ce que Film est prête? Son look à l’aéroport avec le sucre était déjà super stylé et parfait ! Moi, je suis trop prê",normal,99.98
https://x.com/RachanunTH/status/1974494387821543890,RachanunTH,2025-10-04 15:18:41+00:00,"Est-ce que Film est prête? Son look à l’aéroport avec le sucre était déjà super stylé et parfait ! Moi, je suis trop prê",normal,99.98
https://x.com/RachanunTH/status/1974494387821543890,RachanunTH,2025-10-04 15:18:41+00:00,"Est-ce que Film est prête? Son look à l’aéroport avec le sucre était déjà super stylé et parfait ! Moi, je suis trop prê",normal,99.98
https://x.com/CombatCr/status/1974479950578090349,CombatCr,2025-10-04 14:21:18+00:00,@iZaya18 I don’t even think it’s hate watching lol I enjoy it despite how crap it is. I loved the comics as a kid and ev,normal,96.77
https://x.com/Shepardit0/status/1974475497397768639,Shepardit0,2025-10-04 14:03:37+00:00,"@NeveResK Mon préféré de Carpenter, une ambiance unique et ce mix d'inspi' entre King et Lovecraft... La fin est superbe",normal,99.97
https://x.com/pelledichervo/status/1974467833372508519,pelledichervo,2025-10-04 13:33:09+00:00,"🇫🇷🤔📺
Signoret et Montand,film de Diane Kurys dont les acteurs principaux sont Marina Foïs et Roschdy Zem.

Hâte de voir ",normal,99.97
https://x.com/Prabhasharsha7/status/1974445059866308765,Prabhasharsha7,2025-10-04 12:02:40+00:00,@TBO_Updates Andharu chapri chapri ani antaru Without any hate cheppandi. For me :Nenu chusina the best and last peak Co,normal,99.98
https://x.com/RgisDagbo3/status/1974432247727206487,RgisDagbo3,2025-10-04 11:11:45+00:00,"@Bejito_UI @Lumano_91 @gaak_fr @x_mat27 Pour l’instant, le film est seulement disponible en Asie. Tout comme kny, il obt",normal,99.96
https://x.com/Chirag_S_kotian/status/1974422003139682612,Chirag_S_kotian,2025-10-04 10:31:03+00:00,"Give some support,no hate please 🥺 
Love All Film 🫡🔥
#KantaraChapter1 
#KantaraALegendChapter1 
#KantaraEverywhere https",normal,99.99
https://x.com/muvholic/status/1974371555057832060,muvholic,2025-10-04 07:10:35+00:00,"He made a film based on religion without showing hate towards other religion,without spreading propaganda. 

This is how",normal,99.99
